animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
,,,,,210112,55,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:30 pm : 30 min head-fixed motorized ,,,,,,,,,,,,
201118_m12,B6-PV Cre,male #12,B6-PV Cre,201118,201218,30,,virus injection in simplex ,,,,,"AAV1-CAG-Flex-NES-JRGECO1a-WPRE-SV40 (1/100), died on 29/12/20 :'(",,,,,,,,,,,,
201207_f40,,female #40,B6-PV Cre,201207,210107,31,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,210111,35,,Habituation 1 ,,,,,"too weak for habituation, no idea why, didn't notice anything during surgery",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,seemed to improve but died :'(,,,,,,,,,,,,
201207_f41,,female #41,B6-PV Cre,201207,210107,31,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,210111,35,,Habituation 1 ,,,,,"10:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3:30 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210112,36,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:30 pm : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210113,37,,locomotion recording with saline infusion,,behaviorPC,2021.01.13_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210114,38,,locomotion recording with saline infusion,,behaviorPC,2021.01.14_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210115,39,,locomotion recording with saline infusion,,behaviorPC,2021.01.15_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210118,42,,locomotion recording with saline infusion,,behaviorPC,2021.01.18_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210119,43,,locomotion recording with saline infusion,,behaviorPC,2021.01.19_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210120,44,,locomotion recording with saline infusion,,behaviorPC,2021.01.20_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210121,45,,locomotion recording with saline infusion,,behaviorPC,2021.01.21_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210122,46,,locomotion recording with saline infusion,,behaviorPC,2021.01.22_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210125,49,,locomotion recording with saline infusion,,behaviorPC,2021.01.25_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
,,,,,210126,50,,locomotion recording with saline infusion,,behaviorPC,2021.01.26_000,locomotion_recording_setup2_000,0.4ul saline at 10:00 am ,,,,,,,,,,,,
201207_f42,,female #42,B6-PV Cre,201207,210107,31,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,210111,35,,Habituation 1 ,,,,,"10:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3:30 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210112,36,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:30 pm : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210113,37,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.13_001,locomotion_recording_setup2_000,0.4ul muscimol at 10:30 am ,,,,,,,,,,,,
,,,,,210114,38,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.14_001,locomotion_recording_setup2_000,0.4ul muscimol at 10:30 am ,,,,,,,,,,,,
,,,,,210115,39,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.15_001,locomotion_recording_setup2_000,0.4ul muscimol at 10:30 am ,,,,,,,,,,,,
,,,,,210118,42,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.18_001,locomotion_recording_setup2_000,0.4ul muscimol at 10:30 am ,,,,,,,,,,,,
,,,,,210119,43,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.19_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, computer bugged (freeze with blank screen) during last session :/",,,,,,,,,,,,
,,,,,,,,,,,,locomotion_recording_setup2_001,single recording of 5th session,,,,,,,,,,,,
,,,,,210120,44,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.20_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210121,45,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.21_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210122,46,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.22_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210125,49,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.25_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210126,50,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.26_001,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
201207_f43,,female #43,B6-PV Cre,201207,210107,31,,Cannula implantation in simplex and head plate surgery,,,,,"cannulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm left, surgery went well",,,,,,,,,,,,
,,,,,210111,35,,Habituation 1 ,,,,,"10:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3:30 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210112,36,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:30 pm : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210113,37,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.13_002,locomotion_recording_setup2_000,0.4ul muscimol at 11:00 am ,,,,,,,,,,,,
,,,,,210114,38,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.14_002,locomotion_recording_setup2_000,0.4ul muscimol at 11:00 am ,,,,,,,,,,,,
,,,,,210115,39,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.15_002,locomotion_recording_setup2_000,0.4ul muscimol at 11:00 am ,,,,,,,,,,,,
,,,,,210118,42,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.18_002,locomotion_recording_setup2_000,0.4ul muscimol at 11:00 am ,,,,,,,,,,,,
,,,,,210119,43,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.19_002,locomotion_recording_setup2_000,"0.4ul muscimol at 11:00 am, camera went offline at beginning of the recording :/",,,,,,,,,,,,
,,,,,,,,,,,,locomotion_recording_setup2_001,restarted recordings,,,,,,,,,,,,
,,,,,210120,44,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.20_002,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210121,45,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.21_002,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210122,46,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.22_002,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210125,49,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.25_002,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
,,,,,210126,50,,locomotion recording with muscimol infusion,,behaviorPC,2021.01.26_002,locomotion_recording_setup2_000,"0.4ul muscimol at 10:30 am, everything went fine",,,,,,,,,,,,
201211_m45,B6-PV Cre,male #45,B6-PV Cre,201211,210112,32,,virus injection in simplex ,,,,,pGP-AAV9-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210129,49,,Teeth cutting,,,,,"Weak, small  and very long teeth, successful teeth cutting, waiting for full recovery",,,,,,,,,,,,
,,,,,210212,63,,Chronic window & headplate surgery,,,,,"2 layers coverslip (3.2mm diameter 150µm thick on top of 2.6mm diameter 400µm thick coverslip), dura removed, surgery went well",,,,,,,,,,,,
,,,,,210215,66,,cranial windows check and habituation 1,,,,,"Clear window, small movements, small blood vessels but a lot of cells on posterior left, large area, dendritic buttons visible, no debris, best signal I have so far even with 15% laser power :D Hab session, 2 p.m 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"4:30 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210215,67,17.4,Habituation 3,,,,,"9:30 am : 30 min head-fixed motorized, ",,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:50 pm : 30 min head-fixed motorized,,,,,,,,,,,,
,,,,,210217,68,17.8,locomotion recording with motorization,,,2021.02.17_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window quality decrease (small blood vessel and membrane), can't see buttons anymore, inj 50µl atropine/dexamethasone",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse45_820_00001.tif",820nm,,,,,,,,,,,,
,,,,,210218,69,17.8,locomotion recording with motorization,,,2021.02.18_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window got better",,,,,,,,,,,,
,,,,,210219,70,17.8,locomotion recording with motorization,,,2021.02.19_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window got better and larger",,,,,,,,,,,,
,,,,,210222,73,17.3,locomotion recording with motorization,,,2021.02.22_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,210223,74,16.6,locomotion recording with motorization,,,2021.02.23_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,210224,75,16.2,locomotion recording with motorization,,,2021.02.24_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,210225,76,16.6,locomotion recording with motorization,,,2021.02.25_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,210226,77,16.9,locomotion recording with motorization,,,2021.02.26_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00002-6.tif","910nm, window still good",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse45_00007.tif",820nm,,,,,,,,,,,,
,,,,,210301,80,16.2,locomotion recording with motorization,,,2021.03.01_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00002-6.tif",ONLY ONE LED BLINKED,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse45_ledfixed_00001-5.tif",all leds blinking,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_ledfixed_00006.tif",single recording MOTORIZED,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_ledfixed_00007.tif",single 60s recording NON-MOTORIZED,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_002, mouse45_ledfixed_00008.tif",single 60s recording NON-MOTORIZED,,,,,,,,,,,,
,,,,,210302,81,16.2,locomotion recording with motorization,,,2021.03.02_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_00006.tif",STILL MOTORIZED but transition between spontaneous and motorized,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_00007.tif",STILL MOTORIZED but transition between spontaneous and motorized,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_002, mouse45_00008.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_00009.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_000010.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,210303,82,16.3,locomotion recording with motorization,,,2021.03.03_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_motorized_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_non-motorized_00001.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_non-motorized_00002.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_002, mouse45_non-motorized_00003.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_003, mouse45_non-motorized_00004.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,210304,83,16.1,locomotion recording with motorization,,,2021.03.04_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45-non-motorized_00002.tif",SPONTANEOUS VERY HIGH SPEED,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45-non-motorized_00001.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,210305,84,16.3,locomotion recording with motorization,,,2021.03.05_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window still good",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_00006.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_00007.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,210308,87,16.1,locomotion recording with motorization,,,2021.03.08_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window start too be a bit blurry ",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_00006.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_00007.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,210309,88,16.3,locomotion recording with motorization,,,2021.03.09_000,"locomotionTriggerSIAndMotor60sec_000, mouse45_00001-5.tif","910nm, window start too be a bit blurry ",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_00006.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_00007.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_002, mouse45_nomotor_00001.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse45_motor_00001.tif",Motorized,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_002, mouse45_80s_interval_00001-5.tif",Motorized with 80s interval between sessions instead of 300s,,,,,,,,,,,,
,,,,,210310,89,15.3,locomotion recording with motorization,,,2021.03.10_000,locomotionTriggerSIAndMotor60sec_000,LOOP WAS NOT ENABLED,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse45_00002-6.tif",910nm window still good,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_000, mouse45_nomotor_00001.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_001, mouse45_nomotor_00002.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_002, mouse45_nomotor_00003.tif",SPONTANEOUS,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_no motorization_003, mouse45_nomotor_5x_00001.tif",SPONTANEOUS ZOOM 5X,,,,,,,,,,,,
201211_m46,B6-PV Cre,male #46,B6-PV Cre,201211,210112,32,,virus injection in simplex ,,,,,pGP-AAV9-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210129,49,,Chronic window & headplate surgery,,,,,"bleeding from anterior part of the windows, brain surface is a little redish",,,,,,,,,,,,
,,,,,210201,52,,Habituation 1 ,,,,,"9:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2:00 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,,,,Chronic window quality check,,,,,Good cells visible on a small but deep area,,,,,,,,,,,,
,,,,,210202,53,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3:30 pm : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210203,54,,locomotion recording with motorization,,,,,"window starting to show some opacity, no cells found anymore injected 50ul dexamethasone and atropine",,,,,,,,,,,,
,,,,,210205,56,,Window rescue surgery,,,,,"Dura removed and 2 layer coverslip placed over simplex, animal has hemiplasia and vestibular deffect ?",,,,,,,,,,,,
,,,,,210215,66,,cranial windows check and re-habituation ,,,,,"Clear window, small movements, small blood vessels but a lot of cells on posterior left, large area, dendritic buttons visible, no debris, best signal I have so far even with 15% laser power :D ",,,,,,,,,,,,
,,,,,210216,67,,locomotion recording with motorization,,,2021.02.16_000,"locomotionTriggerSIAndMotor60sec_000, mouse46_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse46_820_00001.tif",820nm,,,,,,,,,,,,
,,,,,210217,68,,locomotion recording with motorization,,,2021.02.17_001,"locomotionTriggerSIAndMotor60sec_000, mouse46_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse46_820_00001.tif",820nm,,,,,,,,,,,,
,,,,,210218,69,,locomotion recording with motorization,,,2021.02.18_001,"locomotionTriggerSIAndMotor60sec_000, mouse46_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210219,70,,locomotion recording with motorization,,,2021.02.19_001,"locomotionTriggerSIAndMotor60sec_000, mouse46_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210220,71,,locomotion recording with motorization,,,,,window opaque,,,,,,,,,,,,
201211_m47,B6-PV Cre,male #47,B6-PV Cre,201211,210112,32,,virus injection in simplex ,,,,,pGP-AAV9-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210129,49,,Chronic window & headplate surgery,,,,,Animal died of heat :'(,,,,,,,,,,,,
201211_m48,B6-PV Cre,male #48,B6-PV Cre,201211,210112,32,,virus injection in simplex ,,,,,pGP-AAV9-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210127,47,,sacrified,,,,,"Weak, small  and very long teeth, sacrificed after unsucessful teeth cutting",,,,,,,,,,,,
201211_m49,B6-PV Cre,male #49,B6-PV Cre,201211,210112,32,,virus injection in simplex ,,,,,pGP-AAV9-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210127,47,,Chronic window & headplate surgery,,,,,surgery done by Michael and went well,,,,,,,,,,,,
,,,,,210201,52,,Habituation 1 ,,,,,"9:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2:00 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,,,,Chronic window quality check,,,,,"Big red spot under the coverslip, not good for imaging, injected 50ul of atropine and dexamethasone",,,,,,,,,,,,
,,,,,210202,53,,Habituation 3,,,,,"9:30 am : 30 min head-fixed motorized, ",,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,"3:30 pm : 30 min head-fixed motorized,  50ul of atropine and dexamethasone",,,,,,,,,,,,
,,,,,210203,54,,locomotion recording with motorization,,,2021.02.03_000,"locomotionTriggerSIAndMotor60sec_000, mouse#46_00003-7.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse#46_00008.tif",820nm,,,,,,,,,,,,
,,,,,210204,55,,locomotion recording with motorization,,,2021.02.04_000,"locomotionTriggerSIAndMotor60sec_000, mouse#46_00001.tif ","aborted, bad spot, too blurry, had to push laser to 40 to get a decent signal, ",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse#46_00002-6.tif ",Decent,,,,,,,,,,,,
,,,,,210205,56,,locomotion recording with motorization,,,2021.02.05_000,"locomotionTriggerSIAndMotor60sec_000, mouse#46_00001.tif ","aborted, bad spot, too blurry",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse#46_00002-6.tif ","Very weak signal, blurry",,,,,,,,,,,,
,,,,,210208,59,,Window rescue surgery,,,,,failed and animal died ,,,,,,,,,,,,
201220_m59,B6-PV Cre,male #59,B6-PV Cre,201220,210127,37,,virus injection in simplex ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210219,58,,Chronic window & headplate surgery,,,,,"window too big, damaged the brain with the coverslip on the right side ",,,,,,,,,,,,
,,,,,210222,61,,Habituation 1 ,,,,,"9:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2:00 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210223,62,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,11:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210224,63,23.1,locomotion recording with motorization,,,2021.02.24_001,"locomotionTriggerSIAndMotor60sec_001, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_002, mouse59_00006.tif",820nm,,,,,,,,,,,,
,,,,,210225,64,22.6,locomotion recording with motorization,,,2021.02.25_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00002-6.tif",910nm,,,,,,,,,,,,
,,,,,210226,65,21.4,locomotion recording with motorization,,,2021.02.26_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,21.8,,,,,"locomotionTriggerSIAndMotor60sec_002, mouse59_00008.tif","820nm, _001 trigger didn't launch",,,,,,,,,,,,
,,,,,210301,68,19.1,locomotion recording with motorization,,,2021.03.01_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210302,69,18.9,locomotion recording with motorization,,,2021.03.02_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210303,70,18.7,locomotion recording with motorization,,,2021.03.03_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210304,71,18.7,locomotion recording with motorization,,,2021.03.04_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00002-6.tif",910nm,,,,,,,,,,,,
,,,,,210305,72,18.4,locomotion recording with motorization,,,2021.03.05_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210308,75,18.2,locomotion recording with motorization,,,2021.03.08_001,"locomotionTriggerSIAndMotor60sec_nomotorization_000, mouse59_00001.tif","Error, I was still on non-motorized",,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_000, mouse59_00002-6.tif",Motorized,,,,,,,,,,,,
,,,,,210309,76,18.4,locomotion recording with motorization,,,2021.03.09_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210310,77,18,locomotion recording with motorization,,,2021.03.10_001,"locomotionTriggerSIAndMotor60sec_000, mouse59_00001.tif",WHEEL DIDN'T TURN,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse59_00002-6.tif",910nm,,,,,,,,,,,,
201220_m62,B6-PV Cre,male #62,B6-PV Cre,201220,210127,37,,virus injection in simplex ,,,,,pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10) 0.7µl: AP=-5.5 ML=+2 Z=400µm from brain surface ,,,,,,,,,,,,
,,,,,210218,57,,Chronic window & headplate surgery,,,,,"done by Michael, single layer 150um coverslip ",,,,,,,,,,,,
,,,,,210222,61,,Habituation 1 ,,,,,"9:30 am : 1. Hab session, 5min handling, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"2:00 pm : 1. Hab session, 5 min free walking, 20 min head fixed",,,,,,,,,,,,
,,,,,210223,62,,Habituation 3,,,,,9:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,11:30 am : 30 min head-fixed motorized ,,,,,,,,,,,,
,,,,,210224,63,,locomotion recording with motorization,,,2021.02.24_002,"locomotionTriggerSIAndMotor60sec_000, mouse62_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, mouse62_00006.tif",820nm,,,,,,,,,,,,
,,,,,210225,64,,locomotion recording with motorization,,,2021.02.25_002,"locomotionTriggerSIAndMotor60sec_000, mouse62_00001-5.tif",910nm,,,,,,,,,,,,
,,,,,210226,65,,locomotion recording with motorization,,,2021.02.26_002,"locomotionTriggerSIAndMotor60sec_002, mouse62_00004-8.tif",910nm  trigger didn't launch on _000/001 and 00001-3.tif are empty,,,,,,,,,,,,
,,,,,210301,66,,locomotion recording with motorization,,,,,Window closed,,,,,,,,,,,,
