animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
,,,,,200907,37,,Muscimol infusion and fixation of the animal,,,,,animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.2 ul/min) bids and needle in simplex but big hol on the needle tract ,,,,,,,,,,,,
200801_m61,GCaMP6f-Tigre negative,female #61,P6F-Tigre / Pv-Cre,200801,200909,39,16.8,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2 mm right, 1.7 mm from skull surface",,,,,,,,,,,,
,,,,,200910,40,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.1 ul/min) 2min waiting before infusion, bids were in simplex but too superficial",,,,,,,,,,,,
200801_m62,GCaMP6f-Tigre negative,female #62,P6F-Tigre / Pv-Cre,200801,200909,39,16.4,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2 mm right, 1.7 mm from skull surface",,,,,,,,,,,,
,,,,,200910,40,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.1 ul/min) 2min waiting before infusion, no bids but cannula guide trace in simplex, may be too superficial ",,,,,,,,,,,,
200801_m58,GCaMP6f-Tigre negative,male #58,P6F-Tigre / Pv-Cre,200801,200914,25,22.6,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.43 mm (descending 200um from brain surface) trace of the canula guide but no bids",,,,,,,,,,,,
,,,,,200916,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",sign of agressivity towards #63,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200917,,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,2 p.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,200918,29,,locomotion recording with saline infusion,,behaviorPC,2020.09.18_000,locomotion_recording_setup2_000,"0.4 ul saline infusion at 10:28am, aborted recording since wheel was not rotating",,,,,,,,,,,,
,,,,,,,,,,behaviorPC,,locomotion_recording_setup2_001,no new saline infusion,,,,,,,,,,,,
,,,,,200921,32,,locomotion recording with saline infusion,,behaviorPC,2020.09.21_000,locomotion_recording_setup2_000,0.4 ul saline infusion at 2:40pm mouse held tight the bars during the two first trials of the recording,,,,,,,,,,,,
,,,,,200922,33,,locomotion recording with saline infusion,,behaviorPC,2020.09.22_000,locomotion_recording_setup2_000,0.4 ul saline infusion at 3pm held the bars very often during the 3 first trials,,,,,,,,,,,,
,,,,,200923,34,,locomotion recording with saline infusion,,behaviorPC,2020.09.23_000,locomotion_recording_setup2_000,0.4ul saline infusion at 2:30pm held the bars during 4 trials,,,,,,,,,,,,
,,,,,200924,35,,locomotion recording with saline infusion,,behaviorPC,2020.09.24_000,locomotion_recording_setup2_000,0.4ul saline infusion at 2 pm held the bars during 4 trials,,,,,,,,,,,,
,,,,,200925,36,,locomotion recording with saline infusion,,behaviorPC,2020.09.25_005,locomotion_recording_setup2_000,0.4ul saline infusion at 4:05pm  held the bars very often,,,,,,,,,,,,
,,,,,200928,39,,locomotion recording with saline infusion,,behaviorPC,2020.09.28_005,locomotion_recording_setup2_000,0.4ul saline infusion at 3:35pm  held the bars often,,,,,,,,,,,,
,,,,,200929,40,,locomotion recording with saline + green bids (3/12) infusion,,behaviorPC,2020.09.29_005,locomotion_recording_setup2_000,"0.4ul saline + green bids at 12:30a.m held the bars on trial 2, no bids but canula trace visible",,,,,,,,,,,,
200813_m63,GCaMP6f-Tigre negative,male #63,P6F-Tigre / Pv-Cre,200813,200914,25,15.4,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.63 mm (descending 200um from brain surface)  a lot of bids",,,,,,,,,,,,
,,,,,200916,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",signs of aggression by #58,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200917,28,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3 p.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,200918,29,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.18_001,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3pm recording went well,,,,,,,,,,,,
,,,,,200921,32,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.21_001,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3:30pm recording went well,,,,,,,,,,,,
,,,,,200922,33,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.22_001,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3:30pm recording went well,,,,,,,,,,,,
,,,,,200923,34,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.23_001,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3 pm recording went well,,,,,,,,,,,,
,,,,,200924,35,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.24_001,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 2:30pm recording went well,,,,,,,,,,,,
,,,,,200925,36,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.25_003,locomotion_recording_setup2_000,0.4ul muscimol at 3pm recording went well ,,,,,,,,,,,,
,,,,,200928,39,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.28_003,locomotion_recording_setup2_000,0.4ul muscimol at 3pm recording went well ,,,,,,,,,,,,
,,,,,200929,40,,locomotion recording with muscimol + green bids (3/12) infusion,,behaviorPC,2020.09.29_003,locomotion_recording_setup2_000,"0.4ul muscimol + green bids at 11a.m recording went well, no bids but canula trace visible",,,,,,,,,,,,
200813_f65,GCaMP6f-Tigre negative,female #65,P6F-Tigre / Pv-Cre,200813,200914,25,14.6,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.28 mm (descending 200um from brain surface), no bids, no trace of the guide",,,,,,,,,,,,
,,,,,200916,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200917,28,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3 p.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,200918,29,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.18_002,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3:30pm recording went well,,,,,,,,,,,,
,,,,,200921,32,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.21_002,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 4:30pm recording went well,,,,,,,,,,,,
,,,,,200922,33,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.22_002,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 4:30pm recording went well,,,,,,,,,,,,
,,,,,200923,34,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.23_002,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3:30pm ACQ4 buffer error at the end of recording but all files were recorded,,,,,,,,,,,,
,,,,,200924,35,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.24_002,locomotion_recording_setup2_000,0.4 ul muscimol infusion at 3:00pm recording went well,,,,,,,,,,,,
,,,,,200925,36,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.25_004,locomotion_recording_setup2_000,0.4ul muscimol at 4:30pm recording went well ,,,,,,,,,,,,
,,,,,200928,39,,locomotion recording with muscimol infusion,,behaviorPC,2020.09.28_004,locomotion_recording_setup2_000,0.4ul muscimol at 3pm recording went well ,,,,,,,,,,,,
,,,,,200929,40,,locomotion recording with muscimol + green bids (3/12) infusion,,behaviorPC,2020.09.29_004,locomotion_recording_setup2_000,"0.4ul muscimol + green bids at 11:30a.m recording went well, no bids and no canula trace visible",,,,,,,,,,,,
200813_m13,B6-PV Cre,male #13,B6-PV Cre,200813,200915,32,16.1,virus injection in simplex ,,,,,"pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10, 6µl) x AAV1-CAG-Flex-NES-JRGECO1a-WPRE-SV40 (1/10, 4µl) two sites (1.5µl/side: AP=-6.3/5.6 ML=2 Z=200µm from brain surface",,,,,,,,,,,,
,,,,,201006,54,,Chronic window & headplate surgery,,,,,surgery went well,,,,,,,,,,,,
,,,,,201008,56,,Imaging test ,,2photonPC,2020.10.08_000,"animal#13_00001.tif, 00002.tif","image stack, 71 slices of 20 frame/slice, 2nd recording aborted, animal fixed, animal was fixed, good viral expression of both GCAMP7 and JRGECO in simplex, jGCAMP7f infected only PC",,,,,,,,,,,,
200813_f14,B6-PV Cre,female #14,B6-PV Cre,200813,200915,32,12.2,virus injection in simplex ,,,,,"pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10, 6µl) x AAV1-CAG-Flex-NES-JRGECO1a-WPRE-SV40 (1/10, 4µl) two sites (1.5µl/side: AP=-6.3/5.6 ML=2 Z=200µm from brain surface",,,,,,,,,,,,
,,,,,201006,54,15.8,Chronic window & headplate surgery,,,,,surgery went well,,,,,,,,,,,,
,,,,,201008,56,,Imaging test ,,,,,"headplate detached from animal skull, animal was fixed, good viral expression of both GCAMP7 and JRGECO in simplex, jGCAMP7f infected only PC",,,,,,,,,,,,
200813_f15,B6-PV Cre,female #15,B6-PV Cre,200813,200915,32,12.6,virus injection in simplex ,,,,,"pGP-AAV-syn-FLEX-jGCaMP7f-WPRE (1/10, 6µl) x AAV1-CAG-Flex-NES-JRGECO1a-WPRE-SV40 (1/10, 4µl) two sites (1.5µl/side: AP=-6.3/5.6 ML=2 Z=200µm from brain surface",,,,,,,,,,,,
